Time B=0.1;Num of Total Infected Nodes B=0.1;Num of Infected Nodes This Time B=0.1;Time B=0.2;Num of Total Infected Nodes B=0.2;Num of Infected Nodes This Time B=0.2;Time B=0.3;Num of Total Infected Nodes B=0.3;Num of Infected Nodes This Time B=0.3;Time B=0.4;Num of Total Infected Nodes B=0.4;Num of Infected Nodes This Time B=0.4;Time B=0.5;Num of Total Infected Nodes B=0.5;Num of Infected Nodes This Time B=0.5;Time B=0.6;Num of Total Infected Nodes B=0.6;Num of Infected Nodes This Time B=0.6;Time B=0.7;Num of Total Infected Nodes B=0.7;Num of Infected Nodes This Time B=0.7;Time B=0.8;Num of Total Infected Nodes B=0.8;Num of Infected Nodes This Time B=0.8;Time B=0.9;Num of Total Infected Nodes B=0.9;Num of Infected Nodes This Time B=0.9;Time B=1;Num of Total Infected Nodes B=1;Num of Infected Nodes This Time B=1; 
75;13076;1130;75;858535;25776;75;999495;229;;;;;;;;;;;;;;;;;;;;;;
76;14347;1271;76;880874;22339;76;999646;151;;;;;;;;;;;;;;;;;;;;;;
77;15730;1383;77;900273;19399;77;999760;114;;;;;;;;;;;;;;;;;;;;;;
78;17258;1528;78;916600;16327;78;999834;74;;;;;;;;;;;;;;;;;;;;;;
79;18908;1650;79;930576;13976;79;999893;59;;;;;;;;;;;;;;;;;;;;;;
80;20804;1896;80;942470;11894;80;999941;48;;;;;;;;;;;;;;;;;;;;;;
81;22889;2085;81;952410;9940;81;999984;43;;;;;;;;;;;;;;;;;;;;;;
82;25142;2253;82;960591;8181;82;1000000;16;;;;;;;;;;;;;;;;;;;;;;
83;27635;2493;83;967560;6969;;;;;;;;;;;;;;;;;;;;;;;;;
84;30345;2710;84;973290;5730;;;;;;;;;;;;;;;;;;;;;;;;;
85;33301;2956;85;978042;4752;;;;;;;;;;;;;;;;;;;;;;;;;
86;36500;3199;86;981948;3906;;;;;;;;;;;;;;;;;;;;;;;;;
87;40030;3530;87;985250;3302;;;;;;;;;;;;;;;;;;;;;;;;;
88;43926;3896;88;987911;2661;;;;;;;;;;;;;;;;;;;;;;;;;
89;48198;4272;89;990102;2191;;;;;;;;;;;;;;;;;;;;;;;;;
90;52821;4623;90;991893;1791;;;;;;;;;;;;;;;;;;;;;;;;;
91;57754;4933;91;993365;1472;;;;;;;;;;;;;;;;;;;;;;;;;
92;63263;5509;92;994570;1205;;;;;;;;;;;;;;;;;;;;;;;;;
93;69158;5895;93;995580;1010;;;;;;;;;;;;;;;;;;;;;;;;;
94;75626;6468;94;996452;872;;;;;;;;;;;;;;;;;;;;;;;;;
95;82574;6948;95;997118;666;;;;;;;;;;;;;;;;;;;;;;;;;
96;90107;7533;96;997695;577;;;;;;;;;;;;;;;;;;;;;;;;;
97;98262;8155;97;998152;457;;;;;;;;;;;;;;;;;;;;;;;;;
98;106968;8706;98;998533;381;;;;;;;;;;;;;;;;;;;;;;;;;
99;116388;9420;99;998825;292;;;;;;;;;;;;;;;;;;;;;;;;;
100;126694;10306;100;999049;224;;;;;;;;;;;;;;;;;;;;;;;;;
101;137777;11083;101;999239;190;;;;;;;;;;;;;;;;;;;;;;;;;
102;149403;11626;102;999390;151;;;;;;;;;;;;;;;;;;;;;;;;;
103;162056;12653;103;999528;138;;;;;;;;;;;;;;;;;;;;;;;;;
104;175515;13459;104;999630;102;;;;;;;;;;;;;;;;;;;;;;;;;
105;189792;14277;105;999726;96;;;;;;;;;;;;;;;;;;;;;;;;;
106;204927;15135;106;999791;65;;;;;;;;;;;;;;;;;;;;;;;;;
107;220894;15967;107;999857;66;;;;;;;;;;;;;;;;;;;;;;;;;
108;237987;17093;108;999901;44;;;;;;;;;;;;;;;;;;;;;;;;;
109;255801;17814;109;999941;40;;;;;;;;;;;;;;;;;;;;;;;;;
110;274511;18710;110;999972;31;;;;;;;;;;;;;;;;;;;;;;;;;
111;294041;19530;111;999993;21;;;;;;;;;;;;;;;;;;;;;;;;;
112;314505;20464;112;1000000;7;;;;;;;;;;;;;;;;;;;;;;;;;
113;335739;21234;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;357478;21739;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;379994;22516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;403164;23170;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;426909;23745;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;450818;23909;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;475084;24266;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;499376;24292;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;523718;24342;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;548228;24510;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;571953;23725;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;595532;23579;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;619349;23817;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;642008;22659;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;664368;22360;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;685742;21374;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;706546;20804;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;726551;20005;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;745642;19091;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;764026;18384;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;781307;17281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;797636;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;812959;15323;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;827342;14383;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;841083;13741;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;853904;12821;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;865874;11970;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;876874;11000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;887185;10311;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;896754;9569;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;905449;8695;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;913538;8089;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;921159;7621;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;928160;7001;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;934474;6314;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;940465;5991;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;945840;5375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
